group,n_agents,avg_group_volatility,avg_solo_volatility,volatility_reduction,flatness_factor
0,4,0.06712893529262408,0.04801598568257898,28.471998739037314,1.398053884312524
1,4,0.02329935301347775,0.03543737587874268,-52.095965318193905,0.6574796365623111
2,4,0.007329943948329113,0.012484915312545565,-70.32756867658648,0.5871040183158921
4,4,0.03653607821052456,0.037772285959280234,-3.383526118026456,0.9672720959994758
6,4,0.02939698100025884,0.007652038581453852,73.9699849403363,3.8417188684212764
8,4,0.032905640457048434,0.028592379568066893,13.107968205668625,1.1508535125141792
16,4,0.03891139330460984,0.0310317864645974,20.25012771536747,1.25392050338455
19,4,0.04327695530561906,0.03855399139565339,10.913346090575002,1.1225025928313648
23,4,0.05678030293347511,0.055454424762027665,2.3351023206073176,1.0239093305383151
25,4,0.058177243040756436,0.024009389121047657,58.730617220503675,2.423103842727751
26,4,0.020503544950506027,0.047853817439978796,-133.39289647470335,0.42846205480310606
28,4,0.051912524689791094,0.027693008676487482,46.65447530828051,1.8745714955077089
29,4,0.026665749386437804,0.028070654231079416,-5.2685743958733315,0.9499511185925221
30,4,0.027979981336568212,0.03191264003269895,-14.055258467921059,0.8767679924913395
32,4,0.021955192170036397,0.044531776427311626,-102.83027396174143,0.4930230485162307
34,4,0.021526713642170677,0.021809577756034662,-1.314014384944742,0.9870302801352623
35,4,0.03609183817108941,0.017845604695155448,50.55501299058166,2.022449717318196
36,4,0.024627158752620535,0.02323589889970397,5.649290959187585,1.059875447854281
37,4,0.03212585402965019,0.028714595663661753,10.618420798525863,1.1187987602522773
38,4,0.03388082391786269,0.020376441888844833,39.85848178236912,1.6627448551952972
39,4,0.058788760066902035,0.04945526952803647,15.876318072100828,1.188725905812208
41,4,0.07994509279415522,0.043694244585989965,45.34468213265437,1.8296481276114946
42,4,0.07933031374679339,0.03535030938295497,55.43909041405516,2.244119362221041
43,4,0.04124572471162426,0.028786644152682426,30.206962408956038,1.4328076761174282
45,4,0.028887839104976065,0.026270369299913356,9.060801659656976,1.0996358206913879
48,4,0.03847812226085884,0.053490650266616604,-39.01575005137136,0.7193429518816852
50,4,0.013481875297597307,0.03302164681223104,-144.93363188217626,0.4082738627258194
51,4,0.13393911564551958,0.039762236882316004,70.31320037415367,3.368500520781519
52,4,0.05388483816177104,0.08196847879984567,-52.117889922510265,0.6573848746583363
54,4,0.03595035550884404,0.020905759306474852,41.84825432023367,1.7196388316644224
55,4,0.08147510753033435,0.050732091624344125,37.733016669593425,1.6059875499246712
58,4,0.0654183686506167,0.021465166201362157,67.18786077347436,3.0476525565623303
61,4,0.0440286591483541,0.018218781503925228,58.62063061576044,2.4166632186059283
