group,n_agents,agents_more_trusting,mean_trust_change,mean_trust_volatility
0,4,4,-0.29067539104463247,0.08034909003020017
1,4,4,-0.0879668992364242,0.02620571008251073
2,4,4,-0.011428630025344999,0.008410618108298601
4,4,4,-0.12313439420723626,0.03844606567036833
6,4,4,-0.13787497367627144,0.0350432597972146
8,4,4,-0.13026291474876506,0.03847763364111341
16,4,4,-0.10293402731432288,0.04208043102203948
19,4,4,-0.14744929782794558,0.046071109594827436
23,4,4,-0.15229933675076435,0.05888964020368245
25,4,4,-0.14662149957747128,0.06352631912796
26,4,4,-0.06995749035588017,0.02293273023727908
28,4,4,-0.1000021318920461,0.058541431496899006
29,4,4,-0.09629801951933326,0.034045515901617716
30,4,4,-0.09145438833762609,0.03263471389291898
32,4,4,-0.04745694999633776,0.02541312631429121
34,4,4,-0.05414799488110855,0.02506481321263743
35,4,4,-0.07944187845465533,0.04050887114006972
36,4,4,-0.08369832108123187,0.026736920979813464
37,4,4,-0.07771345532863982,0.03386602162444421
38,4,3,0.02632027338730114,0.045844786678753705
39,4,4,-0.18075667983262544,0.06372075718956569
41,4,4,-0.25276167709631014,0.0898658386336724
42,4,4,-0.2842459445045824,0.0916403961437797
43,4,4,-0.1597374304500505,0.048850121927592666
45,4,4,-0.051925109775354805,0.031840839006723354
48,4,4,-0.07855358530076573,0.041654244522784045
50,4,4,-0.04456974866781671,0.014633147586138432
51,4,4,-0.5209479674720623,0.16492998008440535
52,4,4,-0.16663373382939395,0.0623418110067029
54,4,4,-0.12384557847351241,0.03966063424582192
55,4,4,-0.2772800262419791,0.08669039887865619
58,4,4,-0.17344379309567826,0.0746671708292441
61,4,4,-0.0947263542961197,0.05248637583580111
